setting,course,model,method,metric,estimate,lower,upper,n_test,n_fail,n_automatic_mean,n_automatic_min,n_automatic_max,finite_replicates
temporal_1,Global economics,catboost,EIQ-batch,singleton_error,0.3899650813324033,0.33687158758844815,0.4430618972904378,681,261,173.6,127,259,2000
temporal_1,Global economics,catboost,EIQ-batch,missed_failure,0.12260536398467432,0.09893160220562355,0.14580190687631153,681,261,173.6,127,259,2000
temporal_1,Global economics,catboost,EQ,coverage,0.9309838472834068,0.9177679882525698,0.9433186490455213,681,261,142.8,24,235,2000
temporal_1,Global economics,catboost,EQ,fail_coverage,0.8881226053639847,0.8643643117465657,0.9112062595419848,681,261,142.8,24,235,2000
temporal_1,Global economics,catboost,EQ,automatic_coverage,0.20969162995594715,0.19001468428781204,0.2302496328928047,681,261,142.8,24,235,2000
temporal_1,Global economics,catboost,EQ,review_fraction,0.7903083700440529,0.7697503671071952,0.8099853157121879,681,261,142.8,24,235,2000
temporal_1,Global economics,catboost,EQ,singleton_error,0.3381586512759033,0.26889165674851706,0.40837116345039826,681,261,142.8,24,235,2000
temporal_1,Global economics,catboost,EQ,missed_failure,0.11187739463601533,0.08879374045801527,0.13563568825343425,681,261,142.8,24,235,2000
temporal_1,Global economics,catboost,MCP,coverage,0.9468428781204111,0.9353891336270191,0.9574155653450808,681,261,105.2,24,181,2000
temporal_1,Global economics,catboost,MCP,fail_coverage,0.9295019157088122,0.9108570632129686,0.9467790811339197,681,261,105.2,24,181,2000
temporal_1,Global economics,catboost,MCP,automatic_coverage,0.15447870778267253,0.13832599118942732,0.1723935389133627,681,261,105.2,24,181,2000
temporal_1,Global economics,catboost,MCP,review_fraction,0.8455212922173274,0.8276064610866373,0.8616740088105727,681,261,105.2,24,181,2000
temporal_1,Global economics,catboost,MCP,singleton_error,0.34666928957377563,0.26624597209315554,0.4301060543230798,681,261,105.2,24,181,2000
temporal_1,Global economics,catboost,MCP,missed_failure,0.07049808429118773,0.05322091886608015,0.08914293678703145,681,261,105.2,24,181,2000
temporal_1,Global economics,logistic,EIQ-batch,coverage,0.8863436123348017,0.8672540381791481,0.9048458149779736,681,261,247.2,85,378,2000
temporal_1,Global economics,logistic,EIQ-batch,fail_coverage,0.8229885057471265,0.7878033189399711,0.8576786428032153,681,261,247.2,85,378,2000
temporal_1,Global economics,logistic,EIQ-batch,automatic_coverage,0.3629955947136564,0.33744493392070485,0.3879662261380323,681,261,247.2,85,378,2000
