setting,model,method,seed,n,n_fail,correct,wrong,deferred,detected,missed,fail_deferred
temporal_2,catboost,EIQ-batch,42,1399,637,0.34810578984989277,0.17369549678341673,0.4781987133666905,0.08791208791208792,0.3673469387755102,0.5447409733124019
temporal_2,catboost,EIQ-batch,73,1399,637,0.33666904932094355,0.13652609006433167,0.5268048606147248,0.10361067503924647,0.27472527472527475,0.6216640502354788
temporal_2,catboost,EIQ-batch,101,1399,637,0.38027162258756253,0.16869192280200143,0.451036454610436,0.18838304552590268,0.3328100470957614,0.478806907378336
temporal_2,catboost,EQ,7,1399,637,0.43173695496783415,0.21515368120085776,0.3531093638313081,0.08948194662480377,0.45682888540031397,0.45368916797488223
temporal_2,catboost,EQ,19,1399,637,0.3652609006433167,0.17655468191565404,0.4581844174410293,0.04709576138147567,0.37676609105180536,0.576138147566719
temporal_2,catboost,EQ,42,1399,637,0.34810578984989277,0.17369549678341673,0.4781987133666905,0.08791208791208792,0.3673469387755102,0.5447409733124019
temporal_2,catboost,EQ,73,1399,637,0.33666904932094355,0.13652609006433167,0.5268048606147248,0.10361067503924647,0.27472527472527475,0.6216640502354788
temporal_2,catboost,EQ,101,1399,637,0.315939957112223,0.15439599714081487,0.5296640457469621,0.04709576138147567,0.3328100470957614,0.6200941915227629
temporal_2,catboost,MCP,7,1399,637,0.43173695496783415,0.21515368120085776,0.3531093638313081,0.08948194662480377,0.45682888540031397,0.45368916797488223
temporal_2,catboost,MCP,19,1399,637,0.3652609006433167,0.17655468191565404,0.4581844174410293,0.04709576138147567,0.37676609105180536,0.576138147566719
temporal_2,catboost,MCP,42,1399,637,0.34810578984989277,0.17369549678341673,0.4781987133666905,0.08791208791208792,0.3673469387755102,0.5447409733124019
temporal_2,catboost,MCP,73,1399,637,0.33666904932094355,0.13652609006433167,0.5268048606147248,0.10361067503924647,0.27472527472527475,0.6216640502354788
temporal_2,catboost,MCP,101,1399,637,0.315939957112223,0.15439599714081487,0.5296640457469621,0.04709576138147567,0.3328100470957614,0.6200941915227629
temporal_2,logistic,EIQ-batch,7,1399,637,0.42030021443888493,0.20943531093638312,0.37026447462473194,0.1130298273155416,0.4379905808477237,0.4489795918367347
temporal_2,logistic,EIQ-batch,19,1399,637,0.365975696926376,0.13795568263045033,0.4960686204431737,0.21036106750392464,0.24489795918367346,0.5447409733124019
temporal_2,logistic,EIQ-batch,42,1399,637,0.35525375268048603,0.17512508934953538,0.46962115796997855,0.0,0.38461538461538464,0.6153846153846154
temporal_2,logistic,EIQ-batch,73,1399,637,0.4610436025732666,0.22444603288062903,0.31451036454610437,0.27001569858712715,0.3814756671899529,0.34850863422291994
temporal_2,logistic,EIQ-batch,101,1399,637,0.3674052894924946,0.16368834882058614,0.46890636168691924,0.10047095761381476,0.3453689167974882,0.554160125588697
temporal_2,logistic,EQ,7,1399,637,0.3652609006433167,0.14939242315939957,0.4853466761972838,0.1130298273155416,0.30612244897959184,0.5808477237048666
temporal_2,logistic,EQ,19,1399,637,0.42101501072194425,0.1837026447462473,0.39528234453180844,0.21036106750392464,0.3453689167974882,0.44427001569858715
temporal_2,logistic,EQ,42,1399,637,0.35525375268048603,0.17512508934953538,0.46962115796997855,0.0,0.38461538461538464,0.6153846153846154
temporal_2,logistic,EQ,73,1399,637,0.2794853466761973,0.10793423874195854,0.6125804145818442,0.0423861852433281,0.22919937205651492,0.728414442700157
temporal_2,logistic,EQ,101,1399,637,0.3674052894924946,0.16368834882058614,0.46890636168691924,0.10047095761381476,0.3453689167974882,0.554160125588697
temporal_2,logistic,MCP,7,1399,637,0.3652609006433167,0.14939242315939957,0.4853466761972838,0.1130298273155416,0.30612244897959184,0.5808477237048666
temporal_2,logistic,MCP,19,1399,637,0.42101501072194425,0.1837026447462473,0.39528234453180844,0.21036106750392464,0.3453689167974882,0.44427001569858715
temporal_2,logistic,MCP,42,1399,637,0.3538241601143674,0.17512508934953538,0.4710507505360972,0.0,0.38461538461538464,0.6153846153846154
temporal_2,logistic,MCP,73,1399,637,0.2794853466761973,0.10793423874195854,0.6125804145818442,0.0423861852433281,0.22919937205651492,0.728414442700157
temporal_2,logistic,MCP,101,1399,637,0.3674052894924946,0.16368834882058614,0.46890636168691924,0.10047095761381476,0.3453689167974882,0.554160125588697
